INDEX,TIME,POWER,
0,2.00E-06,6.52E-12,
1,2.00E-06,6.52E-12,
2,2.00E-06,6.52E-12,
3,2.00E-06,6.52E-12,
4,2.00E-06,6.52E-12,
5,2.00E-06,6.52E-12,
6,2.00E-06,6.52E-12,
7,2.00E-06,6.52E-12,
8,2.00E-06,6.52E-12,
9,2.00E-06,6.52E-12,
10,2.00E-06,6.52E-12,
11,2.00E-06,6.52E-12,
12,2.00E-06,6.52E-12,
13,2.00E-06,6.52E-12,
14,2.01E-06,6.52E-12,
15,2.01E-06,6.52E-12,
16,2.02E-06,6.52E-12,
17,2.03E-06,6.52E-12,
18,2.07E-06,6.52E-12,
19,2.13E-06,6.52E-12,
20,2.26E-06,6.52E-12,
21,2.53E-06,6.52E-12,
22,2.89E-06,6.52E-12,
23,3.00E-06,6.52E-12,
24,3.00E-06,6.19E-12,
25,3.00E-06,5.54E-12,
26,3.00E-06,4.48E-12,
27,3.00E-06,3.50E-12,
28,3.00E-06,3.25E-12,
29,3.00E-06,3.25E-12,
30,3.00E-06,3.25E-12,
31,3.00E-06,3.25E-12,
32,3.00E-06,3.24E-12,
33,3.00E-06,3.23E-12,
34,3.01E-06,3.21E-12,
35,3.01E-06,3.18E-12,
36,3.02E-06,3.10E-12,
37,3.03E-06,2.96E-12,
38,3.06E-06,2.71E-12,
39,3.11E-06,2.32E-12,
40,3.22E-06,1.80E-12,
41,3.38E-06,1.36E-12,
42,3.61E-06,1.01E-12,
43,3.93E-06,7.43E-13,
44,4.00E-06,7.03E-13,
45,4.00E-06,7.03E-13,
46,4.00E-06,7.03E-13,
47,4.00E-06,7.02E-13,
48,4.00E-06,7.01E-13,
49,4.00E-06,7.01E-13,
50,4.00E-06,7.00E-13,
51,4.00E-06,6.99E-13,
52,4.00E-06,6.96E-13,
53,4.00E-06,6.90E-13,
54,4.01E-06,6.79E-13,
55,4.01E-06,6.58E-13,
56,4.02E-06,6.17E-13,
57,4.04E-06,5.41E-13,
58,4.08E-06,4.15E-13,
59,4.16E-06,2.42E-13,
60,4.33E-06,7.39E-14,
61,4.66E-06,-6.47E-15,
62,5.00E-06,7.00E-16,
63,5.00E-06,7.15E-16,
64,5.00E-06,8.75E-16,
65,5.00E-06,2.74E-15,
66,5.00E-06,6.29E-15,
67,5.00E-06,7.54E-15,
68,5.00E-06,1.00E-14,
69,5.00E-06,1.49E-14,
70,5.00E-06,2.45E-14,
71,5.00E-06,4.28E-14,
72,5.01E-06,7.68E-14,
73,5.01E-06,1.40E-13,
74,5.02E-06,2.60E-13,
75,5.04E-06,4.96E-13,
76,5.08E-06,9.49E-13,
77,5.17E-06,1.73E-12,
78,5.33E-06,2.71E-12,
79,5.50E-06,3.11E-12,
80,5.59E-06,3.18E-12,
81,5.66E-06,3.21E-12,
82,5.75E-06,3.23E-12,
83,5.85E-06,3.25E-12,
84,5.95E-06,3.25E-12,
85,6.00E-06,3.25E-12,
86,6.00E-06,3.70E-12,
87,6.00E-06,4.24E-12,
88,6.00E-06,5.54E-12,
89,6.00E-06,6.51E-12,
90,6.00E-06,6.51E-12,
91,6.00E-06,6.51E-12,
92,6.00E-06,6.51E-12,
93,6.00E-06,6.51E-12,
94,6.00E-06,6.51E-12,
95,6.00E-06,6.51E-12,
96,6.00E-06,6.51E-12,
97,6.00E-06,6.51E-12,
98,6.00E-06,6.51E-12,
99,6.01E-06,6.51E-12,
100,6.01E-06,6.51E-12,
101,6.02E-06,6.51E-12,
102,6.03E-06,6.51E-12,
103,6.07E-06,6.51E-12,
104,6.13E-06,6.51E-12,
105,6.26E-06,6.51E-12,
106,6.53E-06,6.51E-12,
107,6.89E-06,6.51E-12,
108,7.00E-06,6.51E-12,
109,7.00E-06,6.51E-12,
110,7.00E-06,6.51E-12,
111,7.00E-06,6.51E-12,
112,7.00E-06,6.51E-12,
113,7.00E-06,6.51E-12,
114,7.00E-06,6.51E-12,
115,7.00E-06,6.50E-12,
116,7.00E-06,6.50E-12,
117,7.00E-06,6.49E-12,
118,7.01E-06,6.47E-12,
119,7.01E-06,6.44E-12,
120,7.01E-06,6.37E-12,
121,7.03E-06,6.24E-12,
122,7.05E-06,6.01E-12,
123,7.10E-06,5.65E-12,
124,7.20E-06,5.14E-12,
125,7.36E-06,4.67E-12,
126,7.57E-06,4.32E-12,
127,7.87E-06,4.04E-12,
128,8.00E-06,3.96E-12,
129,8.00E-06,3.96E-12,
130,8.00E-06,3.96E-12,
131,8.00E-06,3.96E-12,
132,8.00E-06,3.96E-12,
133,8.00E-06,3.96E-12,
134,8.00E-06,3.97E-12,
135,8.00E-06,3.97E-12,
136,8.00E-06,3.97E-12,
137,8.00E-06,3.98E-12,
138,8.01E-06,4.00E-12,
139,8.01E-06,4.04E-12,
140,8.02E-06,4.10E-12,
141,8.04E-06,4.23E-12,
142,8.08E-06,4.45E-12,
143,8.16E-06,4.78E-12,
144,8.33E-06,5.21E-12,
145,8.58E-06,5.57E-12,
146,8.85E-06,5.78E-12,
147,9.00E-06,5.87E-12,
148,9.00E-06,5.54E-12,
149,9.00E-06,4.89E-12,
150,9.00E-06,3.60E-12,
151,9.00E-06,2.61E-12,
152,9.00E-06,2.61E-12,
153,9.00E-06,2.61E-12,
154,9.00E-06,2.61E-12,
155,9.00E-06,2.61E-12,
156,9.00E-06,2.62E-12,
157,9.01E-06,2.63E-12,
158,9.01E-06,2.65E-12,
159,9.02E-06,2.69E-12,
160,9.04E-06,2.76E-12,
161,9.08E-06,2.88E-12,
162,9.17E-06,3.05E-12,
163,9.27E-06,3.16E-12,
164,9.37E-06,3.21E-12,
165,9.45E-06,3.23E-12,
166,9.55E-06,3.25E-12,
167,9.64E-06,3.25E-12,
168,9.74E-06,3.26E-12,
169,9.83E-06,3.26E-12,
170,9.92E-06,3.26E-12,
171,1.00E-05,3.26E-12,
172,1.00E-05,3.26E-12,
173,1.00E-05,3.26E-12,
174,1.00E-05,3.26E-12,
175,1.00E-05,3.25E-12,
176,1.00E-05,3.25E-12,
177,1.00E-05,3.25E-12,
178,1.00E-05,3.25E-12,
179,1.00E-05,3.25E-12,
180,1.00E-05,3.24E-12,
181,1.00E-05,3.24E-12,
182,1.00E-05,3.24E-12,
183,1.00E-05,3.24E-12,
184,1.00E-05,3.23E-12,
185,1.00E-05,3.23E-12,
186,1.00E-05,3.21E-12,
187,1.00E-05,3.18E-12,
188,1.00E-05,3.11E-12,
189,1.00E-05,2.99E-12,
190,1.00E-05,2.73E-12,
191,1.01E-05,2.25E-12,
192,1.02E-05,1.43E-12,
193,1.04E-05,4.61E-13,
194,1.06E-05,2.54E-14,
195,1.09E-05,-1.47E-15,
196,1.10E-05,-9.34E-16,
197,1.10E-05,-9.33E-16,
198,1.10E-05,-9.32E-16,
199,1.10E-05,-9.31E-16,
200,1.10E-05,-9.30E-16,
201,1.10E-05,-9.30E-16,
202,1.10E-05,-9.30E-16,
203,1.10E-05,-9.30E-16,
204,1.10E-05,-9.30E-16,
205,1.10E-05,-9.30E-16,
206,1.10E-05,-9.30E-16,
207,1.10E-05,-9.30E-16,
208,1.10E-05,-9.30E-16,
209,1.10E-05,-9.30E-16,
210,1.11E-05,-9.30E-16,
211,1.12E-05,-9.30E-16,
212,1.13E-05,-9.30E-16,
213,1.17E-05,-9.30E-16,
214,1.20E-05,-9.29E-16,
215,1.20E-05,3.41E-13,
216,1.20E-05,9.89E-13,
217,1.20E-05,2.29E-12,
218,1.20E-05,3.26E-12,
219,1.20E-05,3.26E-12,
220,1.20E-05,3.27E-12,
221,1.20E-05,3.27E-12,
222,1.20E-05,3.28E-12,
223,1.20E-05,3.30E-12,
224,1.20E-05,3.33E-12,
225,1.20E-05,3.39E-12,
226,1.20E-05,3.50E-12,
227,1.20E-05,3.69E-12,
228,1.21E-05,4.02E-12,
229,1.22E-05,4.49E-12,
230,1.23E-05,5.06E-12,
231,1.25E-05,5.41E-12,
232,1.28E-05,5.67E-12,
233,1.30E-05,5.83E-12,
234,1.30E-05,5.83E-12,
235,1.30E-05,5.83E-12,
236,1.30E-05,5.83E-12,
237,1.30E-05,5.83E-12,
238,1.30E-05,5.83E-12,
239,1.30E-05,5.83E-12,
240,1.30E-05,5.83E-12,
241,1.30E-05,5.84E-12,
242,1.30E-05,5.84E-12,
243,1.30E-05,5.85E-12,
244,1.30E-05,5.87E-12,
245,1.30E-05,5.92E-12,
246,1.30E-05,5.99E-12,
247,1.31E-05,6.12E-12,
248,1.32E-05,6.29E-12,
249,1.33E-05,6.42E-12,
250,1.34E-05,6.47E-12,
251,1.35E-05,6.49E-12,
252,1.36E-05,6.50E-12,
253,1.36E-05,6.51E-12,
254,1.37E-05,6.51E-12,
255,1.38E-05,6.51E-12,
256,1.39E-05,6.52E-12,
257,1.40E-05,6.52E-12,
258,1.40E-05,6.52E-12,
259,1.40E-05,6.52E-12,
260,1.40E-05,6.52E-12,
261,1.40E-05,6.52E-12,
262,1.40E-05,6.52E-12,
263,1.40E-05,6.52E-12,
264,1.40E-05,6.52E-12,
265,1.40E-05,6.52E-12,
266,1.40E-05,6.52E-12,
267,1.40E-05,6.52E-12,
268,1.40E-05,6.52E-12,
269,1.40E-05,6.52E-12,
270,1.40E-05,6.52E-12,
271,1.40E-05,6.52E-12,
272,1.40E-05,6.52E-12,
273,1.40E-05,6.52E-12,
274,1.40E-05,6.52E-12,
275,1.41E-05,6.52E-12,
276,1.41E-05,6.52E-12,
277,1.43E-05,6.52E-12,
278,1.45E-05,6.52E-12,
279,1.49E-05,6.52E-12,
280,1.50E-05,6.52E-12,
281,1.50E-05,6.19E-12,
282,1.50E-05,5.54E-12,
283,1.50E-05,4.48E-12,
284,1.50E-05,3.50E-12,
285,1.50E-05,3.25E-12,
286,1.50E-05,3.25E-12, 
287,1.50E-05,3.25E-12,
288,1.50E-05,3.25E-12,
289,1.50E-05,3.24E-12,
290,1.50E-05,3.23E-12,
291,1.50E-05,3.21E-12,
292,1.50E-05,3.18E-12,
293,1.50E-05,3.10E-12,
294,1.50E-05,2.96E-12,
295,1.51E-05,2.71E-12,
296,1.51E-05,2.32E-12,
297,1.52E-05,1.80E-12,
298,1.54E-05,1.36E-12,
299,1.56E-05,1.01E-12,
300,1.59E-05,7.43E-13,
301,1.60E-05,7.03E-13,
302,1.60E-05,7.03E-13,
303,1.60E-05,7.03E-13,
304,1.60E-05,7.02E-13,
305,1.60E-05,7.01E-13,
306,1.60E-05,7.01E-13,
307,1.60E-05,7.00E-13,
308,1.60E-05,6.99E-13,
309,1.60E-05,6.96E-13,
310,1.60E-05,6.90E-13,
311,1.60E-05,6.79E-13,
312,1.60E-05,6.58E-13,
313,1.60E-05,6.17E-13,
314,1.60E-05,5.41E-13,
315,1.61E-05,4.15E-13,
316,1.62E-05,2.42E-13,
317,1.63E-05,7.39E-14,
318,1.67E-05,-6.47E-15,
319,1.70E-05,7.00E-16,
320,1.70E-05,7.15E-16,
321,1.70E-05,8.75E-16,
322,1.70E-05,2.74E-15,
323,1.70E-05,6.29E-15,
324,1.70E-05,7.54E-15,
325,1.70E-05,1.00E-14,
326,1.70E-05,1.49E-14,
327,1.70E-05,2.45E-14,
328,1.70E-05,4.28E-14,
329,1.70E-05,7.68E-14,
330,1.70E-05,1.40E-13,
331,1.70E-05,2.60E-13,
332,1.70E-05,4.96E-13,
333,1.71E-05,9.49E-13,
334,1.72E-05,1.73E-12,
335,1.73E-05,2.71E-12,
336,1.75E-05,3.11E-12,
337,1.76E-05,3.18E-12,
338,1.77E-05,3.21E-12,
339,1.78E-05,3.23E-12,
340,1.79E-05,3.25E-12,
341,1.80E-05,3.25E-12,
342,1.80E-05,3.25E-12,
343,1.80E-05,3.70E-12,
344,1.80E-05,4.24E-12,
345,1.80E-05,5.54E-12,
346,1.80E-05,6.51E-12,
347,1.80E-05,6.51E-12,
348,1.80E-05,6.51E-12,
349,1.80E-05,6.51E-12,
350,1.80E-05,6.51E-12,
351,1.80E-05,6.51E-12,
352,1.80E-05,6.51E-12,
353,1.80E-05,6.51E-12,
354,1.80E-05,6.51E-12,
355,1.80E-05,6.51E-12,
356,1.80E-05,6.51E-12,
357,1.80E-05,6.51E-12,
358,1.80E-05,6.51E-12,
359,1.80E-05,6.51E-12,
360,1.81E-05,6.51E-12,
361,1.81E-05,6.51E-12,
362,1.83E-05,6.51E-12,
363,1.85E-05,6.51E-12,
364,1.89E-05,6.51E-12,
365,1.90E-05,6.51E-12,
366,1.90E-05,6.51E-12,
367,1.90E-05,6.51E-12,
368,1.90E-05,6.51E-12,
369,1.90E-05,6.51E-12,
370,1.90E-05,6.51E-12,
371,1.90E-05,6.51E-12,
372,1.90E-05,6.50E-12,
373,1.90E-05,6.50E-12,
374,1.90E-05,6.49E-12,
375,1.90E-05,6.47E-12,
376,1.90E-05,6.44E-12,
377,1.90E-05,6.37E-12,
378,1.90E-05,6.24E-12,
379,1.91E-05,6.01E-12,
380,1.91E-05,5.65E-12,
381,1.92E-05,5.14E-12,
382,1.94E-05,4.67E-12,
383,1.96E-05,4.32E-12,
384,1.99E-05,4.04E-12,
385,2.00E-05,3.96E-12,
