INDEX,TIME(s),POWER(W)
0,2.00E-06,1.30E-11
1,2.00E-06,1.30E-11
2,2.00E-06,1.30E-11
3,2.00E-06,1.30E-11
4,2.00E-06,1.30E-11
5,2.00E-06,1.28E-11
6,2.00E-06,1.23E-11
7,2.00E-06,1.14E-11
8,2.00E-06,1.06E-11
9,2.00E-06,9.77E-12
10,2.00E-06,9.76E-12
11,2.00E-06,9.76E-12
12,2.00E-06,9.76E-12
13,2.00E-06,9.75E-12
14,2.00E-06,9.73E-12
15,2.00E-06,9.70E-12
16,2.01E-06,9.64E-12
17,2.01E-06,9.51E-12
18,2.02E-06,9.26E-12
19,2.05E-06,8.76E-12
20,2.09E-06,7.85E-12
21,2.18E-06,6.51E-12
22,2.35E-06,5.36E-12
23,2.54E-06,5.20E-12
24,2.77E-06,5.19E-12
25,3.00E-06,5.19E-12
26,3.00E-06,4.87E-12
27,3.00E-06,4.22E-12
28,3.00E-06,2.92E-12
29,3.00E-06,1.92E-12
30,3.00E-06,1.92E-12
31,3.00E-06,1.92E-12
32,3.00E-06,1.92E-12
33,3.00E-06,1.91E-12
34,3.00E-06,1.89E-12
35,3.01E-06,1.86E-12
36,3.01E-06,1.79E-12
37,3.02E-06,1.67E-12
38,3.04E-06,1.44E-12
39,3.08E-06,1.08E-12
40,3.17E-06,6.05E-13
41,3.33E-06,1.75E-13
42,3.62E-06,-3.03E-15
43,3.96E-06,3.20E-16
44,4.00E-06,2.38E-16
45,4.00E-06,3.43E-13
46,4.00E-06,9.93E-13
47,4.00E-06,2.30E-12
48,4.00E-06,3.28E-12
49,4.00E-06,3.28E-12
50,4.00E-06,3.29E-12
51,4.00E-06,3.30E-12
52,4.00E-06,3.31E-12
53,4.00E-06,3.35E-12
54,4.01E-06,3.41E-12
55,4.01E-06,3.53E-12
56,4.02E-06,3.72E-12
57,4.04E-06,4.03E-12
58,4.08E-06,4.47E-12
59,4.16E-06,4.91E-12
60,4.31E-06,5.16E-12
61,4.48E-06,5.19E-12
62,4.76E-06,5.19E-12
63,5.00E-06,5.19E-12
64,5.00E-06,5.19E-12
65,5.00E-06,5.19E-12
66,5.00E-06,5.20E-12
67,5.00E-06,5.21E-12
68,5.00E-06,5.21E-12
69,5.00E-06,5.21E-12
70,5.00E-06,5.22E-12
71,5.00E-06,5.25E-12
72,5.00E-06,5.29E-12
73,5.01E-06,5.37E-12
74,5.01E-06,5.53E-12
75,5.02E-06,5.83E-12
76,5.04E-06,6.37E-12
77,5.08E-06,7.25E-12
78,5.17E-06,8.40E-12
79,5.26E-06,9.11E-12
80,5.35E-06,9.43E-12
81,5.45E-06,9.61E-12
82,5.54E-06,9.69E-12
83,5.63E-06,9.73E-12
84,5.72E-06,9.75E-12
85,5.82E-06,9.76E-12
86,5.91E-06,9.77E-12
87,6.00E-06,9.77E-12
88,6.00E-06,1.02E-11
89,6.00E-06,1.08E-11
90,6.00E-06,1.21E-11
91,6.00E-06,1.30E-11
92,6.00E-06,1.28E-11
93,6.00E-06,1.23E-11
94,6.00E-06,1.12E-11
95,6.00E-06,1.01E-11
96,6.00E-06,9.76E-12
97,6.00E-06,9.76E-12
98,6.00E-06,9.76E-12
99,6.00E-06,9.75E-12
100,6.00E-06,9.74E-12
101,6.00E-06,9.72E-12
102,6.01E-06,9.68E-12
103,6.01E-06,9.60E-12
104,6.02E-06,9.44E-12
105,6.03E-06,9.12E-12
106,6.06E-06,8.50E-12
107,6.11E-06,7.42E-12
108,6.22E-06,6.03E-12
109,6.45E-06,5.18E-12
110,6.66E-06,5.19E-12
111,6.90E-06,5.19E-12
112,7.00E-06,5.19E-12
113,7.00E-06,5.19E-12
114,7.00E-06,5.19E-12
115,7.00E-06,5.19E-12
116,7.00E-06,5.18E-12
117,7.00E-06,5.18E-12
118,7.00E-06,5.18E-12
119,7.00E-06,5.18E-12
120,7.00E-06,5.17E-12
121,7.00E-06,5.15E-12
122,7.01E-06,5.12E-12
123,7.01E-06,5.05E-12
124,7.02E-06,4.92E-12
125,7.04E-06,4.70E-12
126,7.08E-06,4.34E-12
127,7.17E-06,3.86E-12
128,7.33E-06,3.43E-12
129,7.62E-06,3.26E-12
130,7.96E-06,3.26E-12
131,8.00E-06,3.26E-12
132,8.00E-06,3.60E-12
133,8.00E-06,4.25E-12
134,8.00E-06,5.56E-12
135,8.00E-06,6.55E-12
136,8.00E-06,6.55E-12
137,8.00E-06,6.56E-12
138,8.00E-06,6.58E-12
139,8.00E-06,6.62E-12
140,8.00E-06,6.68E-12
141,8.01E-06,6.80E-12
142,8.01E-06,7.01E-12
143,8.02E-06,7.40E-12
144,8.04E-06,8.04E-12
145,8.08E-06,8.98E-12
146,8.16E-06,1.01E-11
147,8.26E-06,1.08E-11
148,8.38E-06,1.13E-11
149,8.53E-06,1.17E-11
150,8.74E-06,1.20E-11
151,9.00E-06,1.23E-11
152,9.00E-06,1.19E-11
153,9.00E-06,1.13E-11
154,9.00E-06,1.00E-11
155,9.00E-06,9.01E-12
156,9.00E-06,9.01E-12
157,9.00E-06,9.01E-12
158,9.00E-06,9.01E-12
159,9.00E-06,9.02E-12
160,9.00E-06,9.02E-12
161,9.01E-06,9.04E-12
162,9.01E-06,9.06E-12
163,9.02E-06,9.12E-12
164,9.04E-06,9.21E-12
165,9.08E-06,9.35E-12
166,9.17E-06,9.54E-12
167,9.26E-06,9.66E-12
168,9.35E-06,9.72E-12
169,9.45E-06,9.75E-12
170,9.54E-06,9.76E-12
171,9.63E-06,9.77E-12
172,9.72E-06,9.77E-12
173,9.82E-06,9.77E-12
174,9.91E-06,9.77E-12
175,1.00E-05,9.77E-12
176,1.00E-05,9.77E-12
177,1.00E-05,9.77E-12
178,1.00E-05,9.77E-12
179,1.00E-05,9.77E-12
180,1.00E-05,9.77E-12
181,1.00E-05,9.59E-12
182,1.00E-05,9.25E-12
183,1.00E-05,8.56E-12
184,1.00E-05,7.19E-12
185,1.00E-05,6.48E-12
186,1.00E-05,6.47E-12
187,1.00E-05,6.46E-12
188,1.00E-05,6.45E-12
189,1.00E-05,6.42E-12
190,1.00E-05,6.35E-12
191,1.00E-05,6.23E-12
192,1.00E-05,5.98E-12
193,1.00E-05,5.48E-12
194,1.00E-05,4.54E-12
195,1.01E-05,2.93E-12
196,1.02E-05,9.88E-13
197,1.03E-05,4.79E-14
198,1.05E-05,-2.66E-15
199,1.06E-05,2.26E-16
200,1.09E-05,-7.21E-17
201,1.10E-05,-1.18E-17
202,1.10E-05,-1.18E-17
203,1.10E-05,-1.18E-17
204,1.10E-05,-1.17E-17
205,1.10E-05,-1.17E-17
206,1.10E-05,-1.17E-17
207,1.10E-05,-1.17E-17
208,1.10E-05,-1.17E-17
209,1.10E-05,-1.16E-17
210,1.10E-05,-1.15E-17
211,1.10E-05,-1.13E-17
212,1.10E-05,-1.09E-17
213,1.10E-05,-1.01E-17
214,1.10E-05,-8.68E-18
215,1.11E-05,-6.42E-18
216,1.12E-05,-3.44E-18
217,1.13E-05,-7.94E-19
218,1.17E-05,2.01E-19
219,1.20E-05,1.18E-19
220,1.20E-05,6.85E-13
221,1.20E-05,1.98E-12
222,1.20E-05,4.59E-12
223,1.20E-05,6.55E-12
224,1.20E-05,6.55E-12
225,1.20E-05,6.56E-12
226,1.20E-05,6.58E-12
227,1.20E-05,6.62E-12
228,1.20E-05,6.68E-12
229,1.20E-05,6.80E-12
230,1.20E-05,7.01E-12
231,1.20E-05,7.40E-12
232,1.20E-05,8.04E-12
233,1.21E-05,8.98E-12
234,1.22E-05,1.01E-11
235,1.23E-05,1.08E-11
236,1.24E-05,1.13E-11
237,1.25E-05,1.17E-11
238,1.27E-05,1.20E-11
239,1.30E-05,1.23E-11
240,1.30E-05,1.23E-11
241,1.30E-05,1.23E-11
242,1.30E-05,1.23E-11
243,1.30E-05,1.23E-11
244,1.30E-05,1.23E-11
245,1.30E-05,1.23E-11
246,1.30E-05,1.23E-11
247,1.30E-05,1.23E-11
248,1.30E-05,1.23E-11
249,1.30E-05,1.23E-11
250,1.30E-05,1.23E-11
251,1.30E-05,1.24E-11
252,1.30E-05,1.25E-11
253,1.31E-05,1.26E-11
254,1.32E-05,1.28E-11
255,1.33E-05,1.29E-11
256,1.34E-05,1.30E-11
257,1.34E-05,1.30E-11
258,1.35E-05,1.30E-11
259,1.36E-05,1.30E-11
260,1.37E-05,1.30E-11
261,1.38E-05,1.30E-11
262,1.39E-05,1.30E-11
263,1.40E-05,1.30E-11
264,1.40E-05,1.30E-11
265,1.40E-05,1.30E-11
266,1.40E-05,1.30E-11
267,1.40E-05,1.30E-11
268,1.40E-05,1.28E-11
269,1.40E-05,1.23E-11
270,1.40E-05,1.14E-11
271,1.40E-05,1.06E-11
272,1.40E-05,9.77E-12
273,1.40E-05,9.76E-12
274,1.40E-05,9.76E-12
275,1.40E-05,9.76E-12
276,1.40E-05,9.75E-12
277,1.40E-05,9.73E-12
278,1.40E-05,9.70E-12
279,1.40E-05,9.64E-12
280,1.40E-05,9.51E-12
281,1.40E-05,9.26E-12
282,1.40E-05,8.76E-12
283,1.41E-05,7.85E-12
284,1.42E-05,6.51E-12
285,1.44E-05,5.36E-12
286,1.45E-05,5.20E-12
287,1.48E-05,5.19E-12
288,1.50E-05,5.19E-12
289,1.50E-05,4.87E-12
290,1.50E-05,4.22E-12
291,1.50E-05,2.92E-12
292,1.50E-05,1.92E-12
293,1.50E-05,1.92E-12
294,1.50E-05,1.92E-12
295,1.50E-05,1.92E-12
296,1.50E-05,1.91E-12
297,1.50E-05,1.89E-12
298,1.50E-05,1.86E-12
299,1.50E-05,1.79E-12
300,1.50E-05,1.67E-12
301,1.50E-05,1.44E-12
302,1.51E-05,1.08E-12
303,1.52E-05,6.05E-13
304,1.53E-05,1.75E-13
305,1.56E-05,-3.03E-15
306,1.60E-05,3.20E-16
307,1.60E-05,2.38E-16
308,1.60E-05,3.43E-13
309,1.60E-05,9.93E-13
310,1.60E-05,2.30E-12
311,1.60E-05,3.28E-12
312,1.60E-05,3.28E-12
313,1.60E-05,3.29E-12
314,1.60E-05,3.30E-12
315,1.60E-05,3.31E-12
316,1.60E-05,3.35E-12
317,1.60E-05,3.41E-12
318,1.60E-05,3.53E-12
319,1.60E-05,3.72E-12
320,1.60E-05,4.03E-12
321,1.61E-05,4.47E-12
322,1.62E-05,4.91E-12
323,1.63E-05,5.16E-12
324,1.65E-05,5.19E-12
325,1.68E-05,5.19E-12
326,1.70E-05,5.19E-12
327,1.70E-05,5.19E-12
328,1.70E-05,5.19E-12
329,1.70E-05,5.20E-12
330,1.70E-05,5.21E-12
331,1.70E-05,5.21E-12
332,1.70E-05,5.21E-12
333,1.70E-05,5.22E-12
334,1.70E-05,5.25E-12
335,1.70E-05,5.29E-12
336,1.70E-05,5.37E-12
337,1.70E-05,5.53E-12
338,1.70E-05,5.83E-12
339,1.70E-05,6.37E-12
340,1.71E-05,7.25E-12
341,1.72E-05,8.40E-12
342,1.73E-05,9.11E-12
343,1.74E-05,9.43E-12
344,1.74E-05,9.61E-12
345,1.75E-05,9.69E-12
346,1.76E-05,9.73E-12
347,1.77E-05,9.75E-12
348,1.78E-05,9.76E-12
349,1.79E-05,9.77E-12
350,1.80E-05,9.77E-12
351,1.80E-05,1.02E-11
352,1.80E-05,1.08E-11
353,1.80E-05,1.21E-11
354,1.80E-05,1.30E-11
355,1.80E-05,1.28E-11
356,1.80E-05,1.23E-11
357,1.80E-05,1.12E-11
358,1.80E-05,1.01E-11
359,1.80E-05,9.76E-12
360,1.80E-05,9.76E-12
361,1.80E-05,9.76E-12
362,1.80E-05,9.75E-12
363,1.80E-05,9.74E-12
364,1.80E-05,9.72E-12
365,1.80E-05,9.68E-12
366,1.80E-05,9.60E-12
367,1.80E-05,9.44E-12
368,1.80E-05,9.12E-12
369,1.81E-05,8.50E-12
370,1.81E-05,7.42E-12
371,1.82E-05,6.03E-12
372,1.84E-05,5.18E-12
373,1.87E-05,5.19E-12
374,1.89E-05,5.19E-12
375,1.90E-05,5.19E-12
376,1.90E-05,5.19E-12
377,1.90E-05,5.19E-12
378,1.90E-05,5.19E-12
379,1.90E-05,5.18E-12
380,1.90E-05,5.18E-12
381,1.90E-05,5.18E-12
382,1.90E-05,5.18E-12
383,1.90E-05,5.17E-12
384,1.90E-05,5.15E-12
385,1.90E-05,5.12E-12
386,1.90E-05,5.05E-12
387,1.90E-05,4.92E-12
388,1.90E-05,4.70E-12
389,1.91E-05,4.34E-12
390,1.92E-05,3.86E-12
391,1.93E-05,3.43E-12
392,1.96E-05,3.26E-12
393,2.00E-05,3.26E-12
394,2.00E-05,3.26E-12
